Subs,Team,Stadium City,Real City
31700,Arizona Cardinals,"Glendale, Arizona","Phoenix, Arizona"
47400,Atlanta Falcons,"Atlanta, Georgia","Atlanta, Georgia"
36000,Baltimore Ravens,"Baltimore, Maryland","Baltimore, Maryland"
36700,Buffalo Bills,"Orchard Park, New York","Buffalo, New York"
36900,Carolina Panthers,"Charlotte, North Carolina","Charlotte, North Carolina"
62500,Chicago Bears,"Chicago, Illinois","Chicago, Illinois"
37800,Cincinnati Bengals,"Cincinnati, Ohio","Cincinnati, Ohio"
53300,Cleveland Browns,"Cleveland, Ohio","Cleveland, Ohio"
63500,Dallas Cowboys,"Arlington, Texas","Dallas, Texas"
51700,Denver Broncos,"Denver, Colorado","Denver, Colorado"
50900,Detroit Lions,"Detroit, Michigan","Detroit, Michigan"
99000,Green Bay Packers,"Green Bay, Wisconsin","Green Bay, Wisconsin"
36300,Houston Texans,"Houston, Texas","Houston, Texas"
32600,Indianapolis Colts,"Indianapolis, Indiana","Indianapolis, Indiana"
31100,Jacksonville Jaguars,"Jacksonville, Florida","Jacksonville, Florida"
47700,Kansas City Chiefs,"Kansas City, Missouri","Kansas City, Missouri"
33200,Miami Dolphins,"Miami Gardens, Florida","Miami, Florida"
73500,Minnesota Vikings,"Minneapolis, Minnesota","Minneapolis, Minnesota"
172000,New England Patriots,"Foxborough, Massachusetts","Boston, Massachusetts"
39300,New Orleans Saints,"New Orleans, Louisiana","New Orleans, Louisiana"
50200,New York Giants,"East Rutherford, New Jersey","New York City, New York"
33500,New York Jets,"East Rutherford, New Jersey","New York City, New York"
34400,Oakland Raiders,"Oakland, California","Oakland, California"
150000,Philadelphia Eagles,"Philadelphia, Pennsylvania","Philadelphia, Pennsylvania"
60000,Pittsburgh Steelers,"Pittsburgh, Pennsylvania","Pittsburgh, Pennsylvania"
72400,Los Angeles Rams,"Los Angeles, California","Los Angeles, California"
30100,Los Angeles Chargers,"Carson, California","Los Angeles, California"
63300,San Francisco 49ers,"Santa Clara, California","San Francisco, California"
72200,Seattle Seahawks,"Seattle, Washington","Seattle, Washington"
24800,Tampa Bay Buccaneers,"Tampa, Florida","Tampa, Florida"
27000,Tennessee Titans,"Nashville, Tennessee","Nashville, Tennessee"
35800,Washington Redskins,"Landover, Maryland","Washington, DC"
